track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087,0,0,0,0,247260.522,2.47e-05,,Major,44,74,42,88,0,9,9,104,G,,0,Hip-Hop
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,251546.796,2.52e-05,,Minor,46,55,50,71,0,10,11,94,F,,0,Rock
Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,2,0,10,0,254913.426,2.55e-05,,Minor,37,14,24,80,0,11,4,170,C#,,0,Pop
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,5,6,4,1,261135.534,2.61e-05,,Minor,73,45,62,28,0,13,13,98,A#,,33,
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,18,4,263145.762,2.63e-05,,Major,68,40,79,33,0,30,6,98,C#,,93,
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,6,0,276394.002,2.76e-05,,Major,76,61,58,6,0,16,3,134,B,,113,Romantic
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,276856.632,2.77e-05,,Major,62,7,62,6,0,58,6,90,G#,,0,Hip-Hop
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942,6,1,6,0,282563.652,2.83e-05,,Major,81,48,70,13,0,15,7,92,A#,,0,
Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,0,0,287738.268,2.88e-05,,Minor,74,36,63,26,0,27,5,90,E,,57,Hip-Hop
Too Late,SZA,1,2022,12,8,714,0,49262961,0,9,2,0,295577.766,2.96e-05,,Major,45,35,68,78,0,39,8,128,B,,0,Hip-Hop
Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,304479.72,3.04e-05,,Major,65,60,60,11,0,10,40,89,C#,,0,Hip-Hop
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,11,0,305085.744,3.05e-05,,Minor,62,56,66,18,0,12,5,178,C#,,1,Hip-Hop
Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,309850.11,3.1e-05,,Major,61,48,55,67,0,16,8,116,D,,0,Hip-Hop
