artist,collaborators,followers
Shawn Mendes,Camila Cabello,
Kali Uchis,"Tyler, Moliy, The Creator, Amaarae",
Em Beihold,Stephen Sanchez,
Britney Spears,Elton John,
Fireboy DML,Ed Sheeran,
Lasso,,
James Arthur,,
Romeo Santos,Karol G,
Jessica Darrow,,
Roddy Ricch,Post Malone,
Alejo,"Robi, Feid",
Robi,"Alejo, Feid",
Luar La L,,
Armani White,,
Paloma Mami,"Polima WestCoast, Pailita, Feid, De La Ghetto",
Shae Gill,Ali Sethi,
Ali Sethi,Shae Gill,
Dean Lewis,,
Ella Henderson,"Becky Hill, David Guetta",
Becky Hill,"Ella Henderson, David Guetta",
NIKI,,
Lizzy McAlpine,,
Luis R Conriquez,"La Adictiva, Peso Pluma",
Khalid,"Billie Eilish, Marshmello",
Perry Como,"The Fontane Sisters, Mitchell Ayres & His Orchestra",
The Fontane Sisters,"Perry Como, Mitchell Ayres & His Orchestra",
Mitchell Ayres & His Orchestra,"Perry Como, The Fontane Sisters",
Rihanna,Calvin Harris,
Megan Thee Stallion,Dua Lipa,
MNEK,Jax Jones,
Jax Jones,"Joel Corry, MNEK, Charli XCX, Saweetie",
ThxSoMch,,
Baby Rasta,Rauw Alejandro,
Nengo Flow,"Chris Jedi, Bad Bunny, Anuel Aa, Chencho Corleone",
Oscar Maydon,Junior H,
Wisin & Yandel,Rosalia,
V,,
King,,
Christian Nodal,,
Maldy,Karol G,
FIFA Sound,"Jung Kook, BTS",
La Adictiva,Luis R Conriquez,
Intense,"AP Dhillon, Gurinder Gill",
AP Dhillon,"Gurinder Gill, Intense",
Gurinder Gill,"AP Dhillon, Intense",
Rels B,,
Lil Nas X,Jack Harlow,
Chris Jedi,"Anuel Aa, Nengo Flow, Chencho Corleone",
Chencho Corleone,"Rauw Alejandro, Chris Jedi, Bad Bunny, Anuel Aa, Nengo Flow",
Young Miko,Feid,
C. Tangana,,
Sabrina Carpenter,,
Tate McRae,,
Buscabulla,Bad Bunny,
Shakin' Stevens,,
Amaarae,"Kali Uchis, Moliy",
Moliy,"Kali Uchis, Amaarae",
INTERWORLD,,
Jason Derulo,,
Pritam,"Amitabh Bhattacharya, Arijit Singh",
Nirvana,,
Vundabar,,
Libianca,,
PnB Rock,,
Benson Boone,,
Bruno Mars,"Silk Sonic, Anderson .Paak",
Anderson .Paak,"Bruno Mars, Silk Sonic",
Silk Sonic,"Bruno Mars, Anderson .Paak",
BYOR,Imanbek,
Imanbek,BYOR,
Ghost,,
Burl Ives,,
Bing Crosby,"John Scott Trotter & His Orchestra, Ken Darby Singers",
John Scott Trotter & His Orchestra,"Ken Darby Singers, Bing Crosby",
Ken Darby Singers,"John Scott Trotter & His Orchestra, Bing Crosby",
Chris Brown,"Metro Boomin, Rvssian, Rauw Alejandro, Future",
Fujii Kaze,,
Paul McCartney,,
The Ronettes,,
New West,,
Tory Lanez,,
NEIKED,"Polo G, Mae Muller",
Mae Muller,"Polo G, NEIKED",
Polo G,"Mae Muller, NEIKED",
The Rare Occasions,,
Danny Ocean,,
Prezioso,"LUM!X, Gabry Ponte",
Gabry Ponte,"LUM!X, Prezioso",
LUM!X,"Gabry Ponte, Prezioso",
Zendaya,Labrinth,
Charli XCX,"Jax Jones, Saweetie, Joel Corry",
Joel Corry,"Jax Jones, Charli XCX, Saweetie",
Saweetie,"Jax Jones, Charli XCX, Joel Corry",
Chris Rea,,
