artist,collaborators,followers,total_songs_x,total_songs
Tini,"Maria Becerra, Steve Aoki, La Joaqui, Anitta, L-Gante, Becky G",7942812,,3.0
Madonna,"Playboi Carti, The Weeknd",7910987,,1.0
YOASOBI,,7881644,,0.0
Jin,,7833461,,1.0
Jhayco,"Quevedo, Feid, Sech",7687324,,2.0
Jhay Cortez,"Myke Towers, Bad Bunny, Anuel Aa",7687324,,3.0
Yandel,Feid,7674407,,0.0
Zion & Lennox,,7588212,,0.0
Jonas Brothers,Marshmello,7586720,,1.0
Skrillex,"Fred again.., Flowdan",7580640,,1.0
Lil Durk,"Morgan Wallen, Kanye West, J. Cole, Cardi B",7571966,,3.0
Lisa,TAEYANG,7543427,,2.0
Vishal-Shekhar,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Caralisa Monteiro, Kumaar",7415685,,2.0
Gunna,"Lil Baby, 21 Savage, Future, Young Thug",7382073,,4.0
Chase Atlantic,,7369638,,1.0
Wisin & Yandel,Rosalia,7328889,,0.0
The Killers,,7299074,,1.0
Kali Uchis,"Tyler, Moliy, The Creator, Amaarae",7280515,,3.0
Hozier,,7250388,,1.0
girl in red,,7245276,,1.0
De La Ghetto,"Feid, Arcangel, Duki, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, Rich Music, Sech, Polima WestCoast, Paloma Mami, Dalex, Justin Quiles, Dimelo Flow, Quevedo, Pailita",7197359,,2.0
Frank Sinatra,B. Swanson Quartet,7183356,,2.0
Rels B,,7158609,,0.0
Blake Shelton,Gwen Stefani,7131775,,1.0
Mc Livinho,DJ Matt D,7065518,,0.0
Kevin Kaarl,,7022873,,1.0
Eladio Carrion,Bad Bunny,6904046,,1.0
Tyga,Doja Cat,6853021,,1.0
John Legend,Metro Boomin,6791883,,2.0
Tory Lanez,,6729259,,1.0
TV Girl,,6632719,,1.0
Creedence Clearwater Revival,,6620714,,1.0
Gwen Stefani,Blake Shelton,6500015,,1.0
