artist_name,collaborators,followers,total_songs
Stromae,,3308673,
Fujii Kaze,,3289356,
Keisya Levronka,,3286061,
Semicenk,DoÃ¯Â¿Â½Ã¯Â¿Â½u,3258200,
Labrinth,Zendaya,3247717,
Charli XCX,"Jax Jones, Saweetie, Joel Corry",3242812,
Dean Lewis,,3188701,
Juicy J,Kevin Gates,3172689,
Ghost,,3126035,
Robin Schulz,Oliver Tree,3086670,
Vance Joy,,3085907,
Young Miko,Feid,3074327,
MC Kevin o Chris,dennis,3019326,
Mari Fernandez,"Israel & Rodolffo, Gustavo Mioto",3008381,
Aitana,zzoilo,2989872,
Emilia,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking",2988443,
Tones and I,,2933129,
KayBlack,MC Caverinha,2914223,
Chefin,Mainstreet,2888605,
Gabito Ballesteros,"Natanael Cano, Peso Pluma, Junior H",2853457,
NMIXX,,2840421,
Cris Mj,"NICKI NICOLE, Duki, Standly, Ak4:20, Stars Music Chile, Pailita",2826348,
Lost Frequencies,Calum Scott,2808883,
Simone Mendes,,2801077,
The Goo Goo Dolls,,2787325,
Benson Boone,,2767644,
C. Tangana,,2729771,
Wham!,,2728086,
Dopamine,"Riton, Nightcrawlers, Mufasa & Hypeman",2705635,
Twisted,Oliver Tree,2645538,
d4vd,,2631583,
Chris Jedi,"Anuel Aa, Nengo Flow, Chencho Corleone",2607299,
Willow,"THE ANXIETY, Camila Cabello, Tyler Cole",2593394,
Pedro Sampaio,Mc Pedrinho,2567398,
Ryan Castro,"Sog, Peso Pluma",2549651,
Anderson .Paak,"Bruno Mars, Silk Sonic",2522538,
Israel & Rodolffo,"Ana Castela, Mari Fernandez",2483909,
Rvssian,"Chris Brown, Rauw Alejandro",2479797,
Oliver Tree,"Twisted, Robin Schulz",2447471,
Phoebe Bridgers,SZA,2403574,
Baby Keem,"Kendrick Lamar, Sam Dew",2375596,
Julieta Venegas,"Bad Bunny, Tainy",2359381,
Macklemore,"Ryan Lewis, Ray Dalton",2329704,
Shilpa Rao,"Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",2328340,
a-ha,,2288141,
Sachin-Jigar,"Shadab Faridi, Amitabh Bhattacharya, Arijit Singh, Varun Jain, Amitabha Bhattacharya, Altamash Faridi",2280558,
L-Gante,Tini,2274710,
Nat King Cole,,2249058,
Saweetie,"Jax Jones, Charli XCX, Joel Corry",2235891,
Leo Santana,,2226363,
24kgoldn,Iann Dior,2218586,
Beach House,,2213899,
David Kushner,,2195910,
Gotye,Kimbra,2163995,
Swae Lee,"Offset, Metro Boomin, Lil Wayne, Post Malone, NAV, A Boogie Wit da Hoodie",2163580,
DJ Luian,"Anuel Aa, Mambo Kingz",2159017,
Tainy,"Bad Bunny, Julieta Venegas",2132591,
Chino Pacas,Fuerza Regida,2114652,
Nayeon,,2063140,
Chuck Berry,,1994750,
Kate Bush,,1993944,
Sleepy hallow,347aidan,1991984,
Dave,Central Cee,1975865,
AnnenMayKantereit,Giant Rooks,1930105,
Fireboy DML,Ed Sheeran,1861227,
Tems,"Future, Drake",1861227,
League of Legends,"Arcane, Imagine Dragons, JID",1853018,
Iann Dior,24kgoldn,1844614,
Freddie Dredd,,1832638,
Dido,Eminem,1812838,
JID,"Offset, League of Legends, Imagine Dragons, Arcane",1764380,
Oscar Maydon,Junior H,1743541,
Rusherking,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Emilia",1724665,
Dean Martin,,1685162,
Nate Dogg,Eminem,1680599,
Zakaria,GODZZ__-,1662063,
Yung Gravy,,1658693,
Latto,Jung Kook,1643009,
La Joaqui,"Steve Aoki, Tini",1638405,
Ella Henderson,"Becky Hill, David Guetta",1614742,
Fifty Fifty,,1603138,
Lord Huron,,1596495,
PSY,Suga,1585592,
FMK,"Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Ke personajes, Emilia",1543480,
Fred again..,"Skrillex, Flowdan",1498869,
RAYE,070 Shake,1498228,
Jay Rock,Kendrick Lamar,1474717,
Ckay,"Dj Yo!, AX'EL",1473314,
James Blake,Metro Boomin,1443916,
Stephen Sanchez,Em Beihold,1427309,
Lauren Spencer Smith,Lauren Spencer Smith,1421119,
Jessie Reyez,"Calvin Harris, Sam Smith",1406318,
Residente,Bizarrap,1393226,
TAEYANG,"Lisa, Jimin",1389030,
Mahmood,Blanco,1386494,
Lyanno,"Rauw Alejandro, Brray",1375974,
Fivio Foreign,"Kanye West, Alicia Keys",1313269,
Nessa Barrett,,1311221,
Kordhell,,1258476,
Paloma Faith,,1246996,
Luar La L,,1240338,
Bellakath,,1184013,
Jax Jones,"Joel Corry, MNEK, Charli XCX, Saweetie",1176383,
Benny Blanco,"BTS, Snoop Dogg",1157844,
Surf Curse,,1153838,
Paloma Mami,"Polima WestCoast, Pailita, Feid, De La Ghetto",1142320,
Coolio,L.V.,1119638,
Anggi Marito,,1119287,
Kim Petras,Sam Smith,1096790,
Loreen,,1059544,
Chris Rea,,1033820,
Standly,"NICKI NICOLE, Duki, Stars Music Chile, Cris Mj",1011329,
Sukriti Kakar,"Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",1004971,
Saiko,"Quevedo, Feid, Mora",1001682,
Omar Apollo,,998218,
KALUSH,,996786,
Jessi,,982409,
Chencho Corleone,"Rauw Alejandro, Chris Jedi, Bad Bunny, Anuel Aa, Nengo Flow",963965,
Seafret,,959719,
Jain,,952823,
Peggy Gou,,938903,
Jaymes Young,,938700,
Yung Lean,,937876,
Lizzy McAlpine,,936242,
Raim Laode,,934844,
Ghostface Killah,"Kendrick Lamar, Summer Walker",916931,
Angela Aguilar,Yuridia,905723,
Oxlade,,899515,
Silk Sonic,"Bruno Mars, Anderson .Paak",885095,
Shae Gill,Ali Sethi,858933,
Shekhar Ravjiani,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Vishal-Shekhar, Caralisa Monteiro, Kumaar",845055,
Project Pat,"21 Savage, Drake",826758,
Amitabh Bhattacharya,"Sachin-Jigar, Shadab Faridi, Arijit Singh, Varun Jain, Altamash Faridi, Pritam",815044,
Becky Hill,"Ella Henderson, David Guetta",808017,
Ak4:20,"Pailita, Cris Mj",807819,
Coi Leray,"Metro Boomin, Anne-Marie, David Guetta",802178,
Yahritza Y Su Esencia,Grupo Frontera,801637,
Lasso,,773154,
INTERWORLD,,769775,
Kaifi Khalil,,765985,
Sampha,Kendrick Lamar,758488,
Alvaro Diaz,Rauw Alejandro,737688,
Masked Wolf,,735192,
Mr.Kitty,,724695,
The Walters,,719024,
AgroPlay,Ana Castela,698009,
Melody,"Ana Castela, Dj Chris No Beat",694194,
Love Funk,"Mc Paiva ZS, MC Ryan SP",689596,
Suki Waterhouse,,687384,
dennis,MC Kevin o Chris,675279,
Hotel Ugly,,674447,
Gurinder Gill,"AP Dhillon, Intense",666823,
Gayle,,623864,
Cherish,ACRAZE,621762,
Beach Weather,,618108,
Gesaffelstein,The Weeknd,617807,
Nickoog Clk,"Polima WestCoast, Fran C, Pablito Pesadilla",602407,
Colde,RM,593005,
SALES,,577705,
Duncan Laurence,,569107,
Polima WestCoast,"Feid, Pablito Pesadilla, Pailita, Fran C, Nickoog Clk, Paloma Mami, De La Ghetto",562532,
MC Caverinha,KayBlack,558846,
Armani White,,545014,
070 Shake,RAYE,535590,
Andy Williams,,534468,
Muni Long,"JVKE, Kodak Black, Jimin, NLE Choppa",531016,
Perry Como,"The Fontane Sisters, Mitchell Ayres & His Orchestra",523203,
Kanii,PR1ISVX,521332,
Gabry Ponte,"LUM!X, Prezioso",521000,
Bing Crosby,"John Scott Trotter & His Orchestra, Ken Darby Singers",518843,
DJ Matt D,Mc Livinho,511007,
Big One,"FMK, Duki, Maria Becerra, Lit Killah, Tiago pzk, Rusherking, Ke personajes, Emilia",496759,
El Chachito,Junior H,489507,
Blxst,"Kendrick Lamar, Amanda Reifer",486962,
347aidan,Sleepy hallow,484436,
Giant Rooks,AnnenMayKantereit,483529,
Baby Tate,,481128,
Doechii,,471673,
Em Beihold,Stephen Sanchez,470542,
Libianca,,468792,
Dj Chris No Beat,"Ana Castela, Melody",464349,
ThxSoMch,,426894,
Kaliii,Kaliii,425355,
Migrantes,"Nico Valdi, LiL CaKe",420651,
Kimbra,Gotye,419541,
Joel Corry,"Jax Jones, Charli XCX, Saweetie",419344,
New West,,417436,
Vundabar,,416099,
Ali Sethi,Shae Gill,404183,
The Rare Occasions,,399543,
Brray,"Lyanno, Rauw Alejandro",392180,
Victor Cibrian,,392056,
Mert Demir,Mabel Matiz,389025,
Amaarae,"Kali Uchis, Moliy",388709,
SiM,,387590,
Brenda Lee,,383709,
Sam Ryder,,378046,
Rosa Linn,,374831,
James Hype,Miggy Dela Rosa,363057,
Yng Lvcas,Peso Pluma,355514,
Ovy On The Drums,"Quevedo, Karol G",341266,
Thezth,"utku INC, Styrx",339799,
Ludwig Goransson,Foudeqush,327377,
Mambo Kingz,"DJ Luian, Anuel Aa",321629,
The Ronettes,,302460,
MNEK,Jax Jones,289128,
Roger,"2Pac, Dr. Dre",270394,
Bradley Cooper,Lady Gaga,252676,
Villano Antillano,Bizarrap,245070,
Nicky Youre,Dazy,243781,
HA SUNG WOON,Jimin,241371,
Imanbek,BYOR,235247,
Pnau,"Elton John, Dua Lipa",233625,
Leah Kate,,226236,
Altamash Faridi,"Sachin-Jigar, Shadab Faridi, Amitabh Bhattacharya, Varun Jain",208341,
Sog,"Peso Pluma, Ryan Castro",203132,
Jack Black,,198665,
Sky Rompiendo,"Myke Towers, Feid",187962,
LUM!X,"Gabry Ponte, Prezioso",183191,
FIFA Sound,"Jung Kook, BTS",181318,
Arcane,"Imagine Dragons, League of Legends, JID",180336,
THE ANXIETY,"Tyler Cole, Willow",177593,
Alejo,"Robi, Feid",176884,
Emmy Meli,,174512,
Mae Stephens,,174094,
NEIKED,"Polo G, Mae Muller",173753,
sped up nightcore,"Lil Uzi Vert, ARIZONATEARS",170496,
LiL CaKe,"Migrantes, Nico Valdi",170199,
Blanco,Mahmood,155677,
Shakin' Stevens,,152931,
Beth Gibbons,Kendrick Lamar,149272,
MC Tairon,"Mc Vitin Da Igrejinha, DJ Win",148670,
