artist(s)_name,collaborators,followers,total_songs,artist_popularity
Ana Castela,"AgroPlay, Dj Chris No Beat, Melody, Israel & Rodolffo",6084873,,81
Kevin Gates,Juicy J,6084650,,73
Nengo Flow,"Chris Jedi, Bad Bunny, Anuel Aa, Chencho Corleone",6061723,,80
John Lennon,"The Harlem Community Choir, Yoko Ono, The Plastic Ono Band",6018766,,70
Rex Orange County,,6004459,,76
Daniel Caesar,"Giveon, Justin Bieber",5936558,,82
Mac DeMarco,,5935657,,81
Kenshi Yonezu,,5911596,,76
La Adictiva,Luis R Conriquez,5889367,,73
Gustavo Mioto,Mari Fernandez,5828407,,78
Lizzo,,5714675,,70
Calum Scott,Lost Frequencies,5606774,,77
Eslabon Armado,Peso Pluma,5529700,,78
Central Cee,Dave,5524671,,83
Lit Killah,"FMK, NICKI NICOLE, Maria Becerra, Duki, Tiago pzk, Big One, Rusherking, Emilia",5473565,,73
WizKid,"Don Toliver, Beam, Toian, Metro Boomin, Kyla, Drake",5458492,,78
Tate McRae,,5431931,,84
Danny Ocean,,5424448,,77
The Kid Laroi,Justin Bieber,5341491,,85
LE SSERAFIM,Nile Rodgers,5269643,,81
Nio Garcia,"Bad Bunny, J Balvin",5269156,,71
Luis R Conriquez,"La Adictiva, Peso Pluma",5240010,,85
Alec Benjamin,,5081042,,75
Miguel,,5075013,,80
AP Dhillon,"Gurinder Gill, Intense",5034789,,76
Tiago pzk,"Bizarrap, FMK, NICKI NICOLE, Maria Becerra, Duki, Ozuna, Lit Killah, Big One, Rusherking, Trueno, Emilia",5032999,,80
Mora,"Feid, Sech, Bad Bunny, Saiko, Quevedo",5032856,,82
Dove Cameron,,4997564,,73
MC Ryan SP,"Love Funk, Mc Paiva ZS",4988242,,84
Blackbear,BoyWithUke,4948303,,74
YEAT,,4911820,,82
Kenia OS,,4904522,,77
BIGBANG,,4877150,,66
Paul McCartney,,4778503,,72
Suga,"Halsey, PSY",4734068,,64
Zendaya,Labrinth,4693265,,71
Sean Paul,"Dua Lipa, Feid",4688191,,81
Mc Paiva ZS,"Love Funk, MC Ryan SP",4682183,,73
Steve Lacy,,4664975,,82
King,,4617592,,77
Mc Pedrinho,"Pedro Sampaio, DJ 900",4577467,,66
Quevedo,"Bizarrap, Feid, Mora, La Pantera, Duki, Cruz CafunÃ¯Â¿Â½Ã¯Â¿Â½, Juseph, De La Ghetto, Abhir Hathi, Saiko, Ovy On The Drums, Myke Towers, Jhayco, BÃ¯Â¿Â½Ã¯Â¿Â½jo, Karol G",4575599,,82
Pharrell Williams,"Justin Timberlake, 21 Savage, Tyler, Calvin Harris, Halsey, Daft Punk, Nile Rodgers, The Creator",4507602,,81
JVKE,"Kodak Black, Jimin, Muni Long, NLE Choppa",4445940,,77
Yuridia,Angela Aguilar,4429765,,76
Don Toliver,"WizKid, SZA, Beam, Toian, Metro Boomin, Justin Bieber, Future",4424571,,86
Plan B,,4334853,,81
Grupo Marca Registrada,"Grupo Frontera, Junior H",4277542,,80
Veigh,"Bvga Beatz, Prod Malax, Supernova Ent",4267886,,79
Mabel Matiz,Mert Demir,4224167,,69
IVE,,4192041,,74
BoyWithUke,Blackbear,4168389,,73
Zach Bryan,,4146267,,91
L7nnon,"DJ Biel do Furduncinho, Bianca",4145422,,74
Glass Animals,,4135798,,78
PnB Rock,,4126996,,69
Offset,"Metro Boomin, Lil Wayne, Swae Lee, JID",4084694,,79
BLESSD,Peso Pluma,4059590,,81
Grupo Frontera,"Yahritza Y Su Esencia, Carin Leon, Grupo Marca Registrada, Bad Bunny, Fuerza Regida, Peso Pluma",4034048,,85
NIKI,,4014536,,78
Alesso,Katy Perry,3887927,,76
Shubh,,3847542,,76
Tom Odell,,3841917,,79
Eric Church,Morgan Wallen,3835889,,73
Giveon,"Daniel Caesar, Justin Bieber",3822375,,77
Jack Harlow,Lil Nas X,3809382,,79
Swedish House Mafia,The Weeknd,3756582,,77
Steve Aoki,"La Joaqui, Tini",3742228,,72
Ke personajes,"Big One, FMK",3690076,,77
Tony Dize,Bad Bunny,3689942,,73
Ice Spice,"PinkPantheress, Aqua, Nicki Minaj, Taylor Swift",3651157,,76
teto,,3636874,,40
Sofia Carson,,3599326,,72
JISOO,,3569060,,64
Milo j,Taiu,3549976,,83
Ruth B.,,3493725,,73
NAV,"Metro Boomin, Swae Lee, A Boogie Wit da Hoodie",3472493,,73
Tears For Fears,,3446064,,74
Treasure,,3374872,,66
Keane,,3373828,,74
PinkPantheress,Ice Spice,3370249,,77
Baby Rasta,Rauw Alejandro,3320047,,63
Stromae,,3308673,,71
Fujii Kaze,,3289356,,73
Keisya Levronka,,3286061,,61
Semicenk,DoÃ¯Â¿Â½Ã¯Â¿Â½u,3258200,,77
Labrinth,Zendaya,3247717,,77
Charli XCX,"Jax Jones, Saweetie, Joel Corry",3242812,,88
Dean Lewis,,3188701,,76
Juicy J,Kevin Gates,3172689,,74
Ghost,,3126035,,74
Robin Schulz,Oliver Tree,3086670,,78
Vance Joy,,3085907,,76
Young Miko,Feid,3074327,,80
MC Kevin o Chris,dennis,3019326,,73
Mari Fernandez,"Israel & Rodolffo, Gustavo Mioto",3008381,,76
Aitana,zzoilo,2989872,,74
Emilia,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking",2988443,,80
Tones and I,,2933129,,71
KayBlack,MC Caverinha,2914223,,78
Chefin,Mainstreet,2888605,,69
Gabito Ballesteros,"Natanael Cano, Peso Pluma, Junior H",2853457,,84
NMIXX,,2840421,,69
Cris Mj,"NICKI NICOLE, Duki, Standly, Ak4:20, Stars Music Chile, Pailita",2826348,,87
Lost Frequencies,Calum Scott,2808883,,81
Simone Mendes,,2801077,,78
The Goo Goo Dolls,,2787325,,76
Benson Boone,,2767644,,86
C. Tangana,,2729771,,73
Wham!,,2728086,,70
Dopamine,"Riton, Nightcrawlers, Mufasa & Hypeman",2705635,,26
Twisted,Oliver Tree,2645538,,62
d4vd,,2631583,,79
Chris Jedi,"Anuel Aa, Nengo Flow, Chencho Corleone",2607299,,70
Willow,"THE ANXIETY, Camila Cabello, Tyler Cole",2593394,,72
Pedro Sampaio,Mc Pedrinho,2567398,,73
Ryan Castro,"Sog, Peso Pluma",2549651,,79
Anderson .Paak,"Bruno Mars, Silk Sonic",2522538,,79
Israel & Rodolffo,"Ana Castela, Mari Fernandez",2483909,,69
Rvssian,"Chris Brown, Rauw Alejandro",2479797,,75
Oliver Tree,"Twisted, Robin Schulz",2447471,,71
Phoebe Bridgers,SZA,2403574,,78
Baby Keem,"Kendrick Lamar, Sam Dew",2375596,,77
Julieta Venegas,"Bad Bunny, Tainy",2359381,,76
Macklemore,"Ryan Lewis, Ray Dalton",2329704,,78
Shilpa Rao,"Vishal Dadlani, Shekhar Ravjiani, Vishal-Shekhar, Caralisa Monteiro, Kumaar",2328340,,77
a-ha,,2288141,,74
Sachin-Jigar,"Shadab Faridi, Amitabh Bhattacharya, Arijit Singh, Varun Jain, Amitabha Bhattacharya, Altamash Faridi",2280558,,82
L-Gante,Tini,2274710,,65
Nat King Cole,,2249058,,70
Saweetie,"Jax Jones, Charli XCX, Joel Corry",2235891,,70
Leo Santana,,2226363,,70
24kgoldn,Iann Dior,2218586,,71
Beach House,,2213899,,73
David Kushner,,2195910,,77
Gotye,Kimbra,2163995,,72
Swae Lee,"Offset, Metro Boomin, Lil Wayne, Post Malone, NAV, A Boogie Wit da Hoodie",2163580,,81
DJ Luian,"Anuel Aa, Mambo Kingz",2159017,,77
Tainy,"Bad Bunny, Julieta Venegas",2132591,,79
Chino Pacas,Fuerza Regida,2114652,,80
Nayeon,,2063140,,68
Chuck Berry,,1994750,,67
Kate Bush,,1993944,,71
Sleepy hallow,347aidan,1991984,,76
Dave,Central Cee,1975865,,65
AnnenMayKantereit,Giant Rooks,1930105,,68
Fireboy DML,Ed Sheeran,1861227,,74
Tems,"Future, Drake",1861227,,78
League of Legends,"Arcane, Imagine Dragons, JID",1853018,,77
Iann Dior,24kgoldn,1844614,,71
Freddie Dredd,,1832638,,70
Dido,Eminem,1812838,,75
JID,"Offset, League of Legends, Imagine Dragons, Arcane",1764380,,77
Oscar Maydon,Junior H,1743541,,85
Rusherking,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Emilia",1724665,,70
Dean Martin,,1685162,,69
Nate Dogg,Eminem,1680599,,77
Zakaria,GODZZ__-,1662063,,13
Yung Gravy,,1658693,,68
Latto,Jung Kook,1643009,,80
La Joaqui,"Steve Aoki, Tini",1638405,,72
Ella Henderson,"Becky Hill, David Guetta",1614742,,74
Fifty Fifty,,1603138,,68
Lord Huron,,1596495,,78
PSY,Suga,1585592,,63
FMK,"Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Ke personajes, Emilia",1543480,,69
Fred again..,"Skrillex, Flowdan",1498869,,81
RAYE,070 Shake,1498228,,78
Jay Rock,Kendrick Lamar,1474717,,72
Ckay,"Dj Yo!, AX'EL",1473314,,68
James Blake,Metro Boomin,1443916,,70
Stephen Sanchez,Em Beihold,1427309,,75
Lauren Spencer Smith,Lauren Spencer Smith,1421119,,67
Jessie Reyez,"Calvin Harris, Sam Smith",1406318,,67
Residente,Bizarrap,1393226,,63
TAEYANG,"Lisa, Jimin",1389030,,64
Mahmood,Blanco,1386494,,67
Lyanno,"Rauw Alejandro, Brray",1375974,,74
Fivio Foreign,"Kanye West, Alicia Keys",1313269,,67
Nessa Barrett,,1311221,,68
Kordhell,,1258476,,72
Paloma Faith,,1246996,,66
Luar La L,,1240338,,75
Bellakath,,1184013,,73
Jax Jones,"Joel Corry, MNEK, Charli XCX, Saweetie",1176383,,73
Benny Blanco,"BTS, Snoop Dogg",1157844,,71
Surf Curse,,1153838,,74
Paloma Mami,"Polima WestCoast, Pailita, Feid, De La Ghetto",1142320,,63
Coolio,L.V.,1119638,,71
Anggi Marito,,1119287,,63
Kim Petras,Sam Smith,1096790,,76
Loreen,,1059544,,69
Chris Rea,,1033820,,60
Standly,"NICKI NICOLE, Duki, Stars Music Chile, Cris Mj",1011329,,70
Sukriti Kakar,"Vishal Dadlani, Arijit Singh, Shekhar Ravjiani, Vishal-Shekhar, Kumaar",1004971,,58
Saiko,"Quevedo, Feid, Mora",1001682,,78
Omar Apollo,,998218,,70
KALUSH,,996786,,52
Jessi,,982409,,76
Chencho Corleone,"Rauw Alejandro, Chris Jedi, Bad Bunny, Anuel Aa, Nengo Flow",963965,,80
Seafret,,959719,,68
Jain,,952823,,64
Peggy Gou,,938903,,69
Jaymes Young,,938700,,67
Yung Lean,,937876,,67
